location,latitude,longitude,nearest_airport,full_address
Millbrook,44.1511443,-78.4475977,YPQ,"Millbrook, Cavan-Monaghan, Peterborough County, Central Ontario, Ontario, L0A 1G0, Canada"
Piedmont,45.8992484,-74.1313508,YMX,"Piedmont, Les Pays-d'en-Haut, Laurentides, Québec, Canada"
Berthierville,46.0828098,-73.1747099,YRQ,"Berthierville, D'Autray, Lanaudière, Québec, J0K 1A0, Canada"
Nestor Falls,49.1109791,-93.9261533,YAG,"Nestor Falls, Sioux Narrows-Nestor Falls Township, Kenora District, Northwestern Ontario, Ontario, P0X 1K0, Canada"
Tlell,53.583538,-131.933441,YZP,"Tlell, Area D (Graham Island), North Coast Regional District, British Columbia, Canada"
Norwich,42.987699,-80.59756,YXU,"Norwich, Oxford County, Ontario, Canada"
Reaboro,44.31855,-78.6422047,YPQ,"Reaboro, Kawartha Lakes, Central Ontario, Ontario, K9V 4R5, Canada"
French River,46.5165285,-63.519404,YSU,"French River, Queens County, Prince Edward Island, Canada"
Anzac,56.4525903,-111.0482383,YMM,"Anzac, Division No. 16, Alberta, T0P 1J0, Canada"
Yellow Grass,49.8061795,-104.160128,YQR,"Yellow Grass, Division No. 2, Saskatchewan, Canada"
Mira Gut,46.0387525,-59.9659148,YQY,"Mira Gut, Cape Breton Regional Municipality, Cape Breton County, Nova Scotia, Canada"
Sainte-Julie,45.5930624,-73.3395943,YHU,"Sainte-Julie, Marguerite-D'Youville, Montérégie, Québec, Canada"
Londonderry,53.6068057,-113.456666,YXD,"Londonderry, Northern Mature Area, Division No. 11, Alberta, Canada"
Redwater,53.9527743,-113.1124871,YXD,"Redwater, Division No. 11, Alberta, T0A 2W0, Canada"
Notre-Dame-de-la-Merci,46.2259238,-74.0576698,YTM,"Notre-Dame-de-la-Merci, Matawinie, Lanaudière, Québec, J0T 2A0, Canada"
Saint-Pie-de-Guire,46.002685,-72.748375,YRQ,"Saint-Pie-de-Guire, Drummond, Centre-du-Québec, Québec, Canada"
Lanark Highlands,45.0875524,-76.48559826942638,YSH,"Lanark Highlands, Lanark County, Eastern Ontario, Ontario, Canada"
Saint-Antoine,46.3628036,-64.7525247,YQM,"Saint-Antoine, Saint Mary Parish, Kent County, New Brunswick / Nouveau-Brunswick, Canada"
Benton,45.988562,-67.6086144,HUL,"Benton, Woodstock Parish, Carleton County, New Brunswick / Nouveau-Brunswick, Canada"
Tillsonburg,42.859494,-80.7265015,YQS,"Tillsonburg, Oxford County, Ontario, Canada"
Brossard,45.4554579,-73.4678695,YHU,"Brossard, Agglomération de Longueuil, Montérégie, Québec, Canada"
Gaspé,48.8317223,-64.4837569,YGP,"Gaspé, La Côte-de-Gaspé, Gaspésie–Îles-de-la-Madeleine, Québec, Canada"
Fort Langley,49.169126,-122.5793628,YLY,"Fort Langley, Township of Langley, Metro Vancouver Regional District, British Columbia, Canada"
Deschaillons-sur-Saint-Laurent,46.556736,-72.114258,YRQ,"Deschaillons-sur-Saint-Laurent, Bécancour (MRC), Centre-du-Québec, Québec, G0S 1G0, Canada"
Grand Mira South,45.8932701,-60.2879184,YQY,"Grand Mira South, Cape Breton Regional Municipality, Cape Breton County, Nova Scotia, Canada"
Good Corner,46.3838268,-67.739288,HUL,"Good Corner, Wilmot Parish, Carleton County, New Brunswick / Nouveau-Brunswick, Canada"
Abernethy,50.7461084,-103.4187459,YQV,"Abernethy, Division No. 6, Saskatchewan, S0A 0A0, Canada"
Gladstone,50.2254903,-98.9510661,YPG,"Gladstone, Division No. 8, Manitoba, Canada"
Seven Persons,49.8773939,-110.9045993,YXH,"Seven Persons, Cypress County, Alberta, T0K 1Z0, Canada"
Alix,52.394015350000004,-113.18644600248962,YQF,"Alix, Alberta, T0C 0B0, Canada"
Pointe-aux-Orignaux,47.4848631,-70.0234562,YML,"Pointe aux Orignaux, Rivière-Ouelle, Kamouraska (MRC), Bas-Saint-Laurent, Québec, Canada"
Westmount,45.4857329,-73.5963951,YUL,"Westmount, Agglomération de Montréal, Montréal (région administrative), Québec, Canada"
Brookside,53.4911989,-113.566713,YXD,"Brookside, Riverbend Community, Riverbend, Division No. 11, Alberta, T6H 4E5, Canada"
Tara,44.4775884,-81.1462111,YOS,"Tara, Arran–Elderslie, Bruce County, Ontario, N0H 2N0, Canada"
Seacow Pond,47.0225237,-63.9915385,YSU,"Seacow Pond, Prince County, Prince Edward Island, Canada"
Roseneath,46.2103157,-62.6232726,YYG,"Roseneath, Town of Three Rivers, Kings County, Prince Edward Island, Canada"
Ilderton,43.0812001,-81.3751432,YXU,"Ilderton, Middlesex Centre, Middlesex County, Ontario, N0M 2A0, Canada"
Saint-Marcellin,48.3348,-68.293076,YXK,"Saint-Marcellin, Rimouski-Neigette, Bas-Saint-Laurent, Québec, Canada"
Grand Forks,49.0312269,-118.4392039,ZGF,"Grand Forks, Regional District of Kootenay Boundary, British Columbia, Canada"
Norris Arm,49.083761,-55.266724,YQX,"Norris Arm, Newfoundland, Newfoundland and Labrador, Canada"
Tourville,47.0950056,-69.9849097,YML,"Tourville, L'Islet (MRC), Chaudière-Appalaches, Québec, G0R 4M0, Canada"
Comox,49.6727575,-124.9276204,YQQ,"Comox, Comox Valley Regional District, British Columbia, Canada"
Sainte-Sophie-d'Halifax,46.1539422,-71.7078757,YQB,"Sainte-Sophie-d'Halifax, L'Érable, Centre-du-Québec, Québec, Canada"
Beachburg,45.7328559,-76.8559063,YTA,"Beachburg, Whitewater Region, Renfrew County, Eastern Ontario, Ontario, K0J 1C0, Canada"
Waterton Lakes National Park of Canada,49.101117349999996,-113.98100763190487,WPC,"Waterton Lakes National Park, Division No. 3, Alberta, T0K 2M0, Canada"
Notre-Dame-du-Lac,47.61357,-68.796387,WFK,"Notre-Dame-du-Lac, Témiscouata-sur-le-Lac, Témiscouata, Bas-Saint-Laurent, Québec, G0L 1X0, Canada"
Brantville,47.373992,-64.9666,YCH,"Brantville, Alnwick Parish, Northumberland County, New Brunswick / Nouveau-Brunswick, Canada"
Kahnawake,45.38196965,-73.67308677410855,YUL,"Kahnawà:ke, Kahnawá:ke, Montérégie, Québec, Canada"
Cape North,46.884526,-60.5063292,YQY,"Cape North, Municipality of Victoria County, Victoria County, Nova Scotia, Canada"
Brinston,44.9396303,-75.3599273,OGS,"Brinston, South Dundas, Stormont, Dundas and Glengarry Counties, Eastern Ontario, Ontario, K0E 1C0, Canada"
Stoneham-et-Tewkesbury,47.11916705,-71.39620298735576,YQB,"Stoneham-et-Tewkesbury, La Jacques-Cartier, Capitale-Nationale, Québec, Canada"
Candle Lake,53.7484511,-105.2559645,YPA,"Candle Lake, Division No. 15, Saskatchewan, S0J 3E0, Canada"
Châteauguay,45.3602416,-73.749364,YUL,"Châteauguay, Roussillon, Montérégie, Québec, Canada"
Hull,45.4405842,-75.7326823,YRO,"Hull, Gatineau, Outaouais, Québec, Canada"
Frelighsburg,45.056061,-72.836609,ZBM,"Frelighsburg, Brome-Missisquoi, Estrie, Québec, J0J 1C0, Canada"
Stoneham,46.9996075,-71.3694747,YQB,"Stoneham, Stoneham-et-Tewkesbury, La Jacques-Cartier, Capitale-Nationale, Québec, G3C 1R9, Canada"
Villebois (Baie-James),49.0969108,-79.1478177,YEY,"Villebois, ᐄᔨᔨᐤ ᐊᔅᒌ ᒉᐃᒥᔅ ᐯᐃ Eeyou Istchee Baie-James, Jamésie, Nord-du-Québec, Québec, J0Z 3V0, Canada"
Saint-Hubert-de-Rivière-du-Loup,47.814999,-69.148636,YRI,"Saint-Hubert-de-Rivière-du-Loup, Rivière-du-Loup (MRC), Bas-Saint-Laurent, Québec, G0L 3L0, Canada"
Gjoa Haven,68.64252755,-95.87829702808895,YHK,"Gjoa Haven, ᕿᑎᕐᒥᐅᑦ Kitikmeot Region, ᓄᓇᕗᑦ Nunavut, Canada"
Anglemont,50.9635604,-119.1780525,YSN,"Anglemont, Area F (Scotch Creek/Seymour Arm), Columbia-Shuswap Regional District, British Columbia, Canada"
Milk River,49.1553073,-112.0849664,CTB,"Milk River (town), Alberta, T0K 1M0, Canada"
Crysler,45.2184775,-75.1527496,MSS,"Crysler, North Stormont, Stormont, Dundas and Glengarry Counties, Eastern Ontario, Ontario, K0A 1R0, Canada"
King,43.6489494,-79.3777538,YTZ,"King, Yonge Street, King East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5E 1K3, Canada"
Wyevale,44.6540067,-79.9264371,YLK,"Wyevale, Tiny, Simcoe County, Central Ontario, Ontario, L0L 2T0, Canada"
Saint-Damien,46.333654,-73.480682,YRQ,"Saint-Damien, Matawinie, Lanaudière, Québec, Canada"
Conception Harbour,47.4444183,-53.2237534,YYT,"Conception Harbour, Newfoundland, Newfoundland and Labrador, Canada"
Sorel-Tracy,46.044404,-73.104744,YRQ,"Sorel-Tracy, Pierre-De Saurel, Montérégie, Québec, Canada"
Saint-Jean-Sur-Richelieu,45.3056879,-73.2533401,YJN,"Saint-Jean-sur-Richelieu, Le Haut-Richelieu, Montérégie, Québec, Canada"
Saint-Léonard-d'Aston,46.107041,-72.37484,YRQ,"Saint-Léonard-d'Aston, Nicolet-Yamaska, Centre-du-Québec, Québec, J0C 1M0, Canada"
Pointe-Sapin,46.9620949,-64.8347819,YCH,"Pointe-Sapin, Carleton Parish, Kent County, New Brunswick / Nouveau-Brunswick, Canada"
Moonbeam,49.3438828,-82.160043,YYU,"Moonbeam Township, Cochrane District, Northeastern Ontario, Ontario, P0L 1V0, Canada"
Macklin,52.3368517,-109.9441992,YKY,"Macklin, Division No. 13, Saskatchewan, S0L 2C0, Canada"
Markdale,44.31869,-80.648575,YOS,"Markdale, Grey Highlands, Grey County, Ontario, N0C 1H0, Canada"
Chénéville,45.8867775,-75.0564933,YND,"Chénéville, Papineau, Québec, J0V 1E0, Canada"
Mayerthorpe,53.9523674,-115.13841,YZU,"Town of Mayerthorpe, Division No. 13, Alberta, T0E 1N0, Canada"
Whitney,45.4931252,-78.2386365,YTA,"Whitney, South Algonquin Township, Nipissing District, Northeastern Ontario, Ontario, Canada"
Wendover,45.5725984,-75.1270918,YND,"Wendover, Alfred and Plantagenet, Prescott and Russell Counties, Eastern Ontario, Ontario, K0A 3K0, Canada"
Jocelyn,48.5372882,-123.5298203,YYJ,"Jocelyn Hill, Highlands, Capital Regional District, British Columbia, V9B 6G7, Canada"
Voisey’s Bay,56.2553633,-61.947838410534374,YDP,"Voisey's Bay, Labrador, Newfoundland and Labrador, Canada"
Rockglen,49.1793978,-105.94724,GGW,"Rockglen, Division No. 3, Saskatchewan, S0H 3R0, Canada"
Russell,45.2573172,-75.3583264,YOW,"Russell, Prescott and Russell Counties, Eastern Ontario, Ontario, Canada"
Meaghers Grant,44.9312101,-63.2406343,YHZ,"Meaghers Grant, Halifax Regional Municipality, Halifax County, Nova Scotia, B0N 1V0, Canada"
Point Edward,46.1626865,-60.276691,YQY,"Point Edward, Cape Breton Regional Municipality, Cape Breton County, Nova Scotia, B2A 4V8, Canada"
Sainte-Thérèse-de-la-Gatineau,46.267433249999996,-75.86145413658353,YMW,"Sainte-Thérèse-de-la-Gatineau, La Vallée-de-la-Gatineau, Québec, Canada"
North Vancouver,49.3206294,-123.0737925,CXH,"North Vancouver, Metro Vancouver Regional District, British Columbia, Canada"
Warren,45.8454082,-64.1238504,YQM,"Warren, Municipality of the County of Cumberland, Cumberland County, Nova Scotia, B4H 3Y3, Canada"
Stephenville,48.5452022,-58.5871146,YJT,"Stephenville, Newfoundland, Newfoundland and Labrador, Canada"
North Battleford,52.776186,-108.300476,YQW,"North Battleford, Division No. 16, Saskatchewan, Canada"
Irricana,51.3200105,-113.603134,YYC,"Town of Irricana, Alberta, T0M 1B0, Canada"
Caledon Village,43.8603192,-79.9959112,YYZ,"Caledon Village, Caledon, Peel Region, Golden Horseshoe, Ontario, L7K 0X4, Canada"
Formosa,44.0674027,-81.2141025,YOS,"Formosa, South Bruce, Bruce County, Ontario, N0G 1W0, Canada"
Dipper Harbour,45.09371025,-66.42357008388885,YSJ,"Dipper Harbour, Musquash Parish, Saint John County, New Brunswick / Nouveau-Brunswick, Canada"
Coleman,46.6858995,-64.1683011,YSU,"Coleman, Lot 9, Prince County, Prince Edward Island, Canada"
Langton,42.7419289,-80.5776754,YQS,"Langton, Norfolk County, Ontario, Canada"
Marcelin,52.9264436,-106.7910341,YPA,"Marcelin, Division No. 16, Saskatchewan, S0J 1R0, Canada"
East Aldfield,45.7469638,-76.1844572,YRO,"East Aldfield, La Pêche, Les Collines-de-l'Outaouais, Québec, J0X 1S0, Canada"
Ryley,53.2924056,-112.4382519,YEG,"Ryley, Division No. 10, Alberta, Canada"
Starks Corners,45.5908123,-76.5964333,YTA,"Starks Corners, Clarendon, Québec, Canada"
Severn,44.7546878,-79.51491635139335,YQA,"Severn, Simcoe County, Central Ontario, Ontario, Canada"
Central Hainesville,46.1167835,-67.1009216,YFC,"Central Hainesville, Bright Parish, York County / Comté d'York, New Brunswick / Nouveau-Brunswick, Canada"
Wakaw,52.6499347,-105.735836,YPA,"Wakaw, Division No. 15, Saskatchewan, Canada"
Savona,50.7534762,-120.843324,YKA,"Savona, Area J (Copper Desert Country), Thompson-Nicola Regional District, British Columbia, Canada"
Fournier,45.4413007,-74.8986384,YCC,"Fournier, The Nation, Prescott and Russell Counties, Eastern Ontario, Ontario, K0B 1G0, Canada"
Augusta,44.738986350000005,-75.63448418193349,OGS,"Augusta, Leeds and Grenville Counties, Eastern Ontario, Ontario, Canada"
Lac-des-Aigles,47.990841,-68.67691,YXK,"Lac-des-Aigles, Témiscouata, Bas-Saint-Laurent, Québec, Canada"
Papineauville,45.61884,-75.020142,YND,"Papineauville, Papineau, Québec, J0V 1R0, Canada"
Saint-Théophile,45.9359594,-70.4862313,YSC,"Saint-Théophile, Beauce-Sartigan, Chaudière-Appalaches, Québec, G0M 2A0, Canada"
Malpeque Bay,46.5424294,-63.776552334244336,YSU,"Malpeque Bay, Malpeque, Rural Municipality of Malpeque Bay, Prince County, Prince Edward Island, Canada"
Saint-Germain,47.589031,-69.798203,YRI,"Saint-Germain, Kamouraska (MRC), Bas-Saint-Laurent, Québec, G0L 3G0, Canada"
Grimshaw,56.1879236,-117.608275,YPE,"Town of Grimshaw, Alberta, T0H 1W0, Canada"
Headingley,49.868087,-97.391052,YWG,"Rural Municipality of Headingley, Division No. 11, Manitoba, Canada"
Elmsdale,46.8199874,-64.1388471,YSU,"Elmsdale, Lot 4, Prince County, Prince Edward Island, C0B 1K0, Canada"
Rivière-du-Loup,47.8358164,-69.5368025,YRI,"Rivière-du-Loup, Rivière-du-Loup (MRC), Bas-Saint-Laurent, Québec, Canada"
Fallis,53.5740461,-114.6419896,YXD,"Hamlet of Fallis, Division No. 11, Alberta, Canada"
Erin,43.77506,-80.070076,YYZ,"Erin, Wellington County, Ontario, Canada"
Kitselas,54.5628045,-128.4583615,YXT,"Kitselas, Area C (Butedale/Kitlope/Kitsumkalum), Regional District of Kitimat-Stikine, British Columbia, Canada"
Saint Edward,45.5060188,-73.5664882,YHU,"Rue Saint-Edward, Quartier des Spectacles, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3B 1A2, Canada"
Val Caron,46.610391,-81.0073251,YSB,"Val Caron, Greater Sudbury, Sudbury District, Northeastern Ontario, Ontario, P3N 1R8, Canada"
Princeville,46.1722898,-71.8751852,YRQ,"Princeville, L'Érable, Centre-du-Québec, Québec, Canada"
Bloomfield,46.7742345,-64.2293144,YSU,"Bloomfield, Prince County, Prince Edward Island, Canada"
Walford,46.2052451,-82.231801,YEL,"Walford, Sables-Spanish Rivers Township, Sudbury District, Northeastern Ontario, Ontario, Canada"
Big Trout Lake,53.8231082,-89.8905535,YTL,"ᑭᐦᒋᓇᒣᑯᐦᓯᑊ Big Trout Lake, Kenora District, Northwestern Ontario, Ontario, Canada"
Baden,43.40378,-80.668923,YKF,"Baden, Wilmot, Region of Waterloo, Ontario, N0B 1G0, Canada"
Mankota,49.2584301,-107.0200906,GGW,"Mankota No. 45, Division No. 3, Saskatchewan, Canada"
Puslinch,43.47750295,-80.11377014121024,YKF,"Puslinch, Wellington County, Ontario, Canada"
York,44.0007518,-79.4372217,YKZ,"York Region, Golden Horseshoe, Ontario, Canada"
Fenwick,45.7623738,-64.1790392,YQM,"Fenwick, Municipality of the County of Cumberland, Cumberland County, Nova Scotia, B0L 1C0, Canada"
Dayspring,44.3783816,-64.4718806,YZX,"Dayspring, Municipality of the District of Lunenburg, Lunenburg County, Nova Scotia, Canada"
Chandler,48.3491804,-64.6775915,YGP,"Chandler, Le Rocher-Percé, Gaspésie–Îles-de-la-Madeleine, Québec, Canada"
Endeavour,52.1597603,-102.6565785,YHB,"Endeavour, Division No. 9, Saskatchewan, Canada"
Saint-Placide,45.5293891,-74.2062396,YMX,"Saint-Placide, Deux-Montagnes (MRC), Laurentides, Québec, J0V 2B0, Canada"
150 Mile House,52.1166842,-121.9373634,YWL,"150 Mile House, Area F (Horsefly/Likely/150 Mile House), Cariboo Regional District, British Columbia, V0K 2G0, Canada"
Melville,50.9307241,-102.807296,YQV,"Melville, Division No. 5, Saskatchewan, S0A 2P0, Canada"
Grassy Lake,49.8258502,-111.7004473,YSD,"Grassy Lake, Division No. 2, Alberta, T0K 0Z0, Canada"
Keremeos,49.2074507,-119.8245226,YYF,"Keremeos, Regional District of Okanagan-Similkameen, British Columbia, Canada"
Lunenburg,44.3774954,-64.3154816,YZX,"Lunenburg, Town of Lunenburg, Lunenburg County, Nova Scotia, Canada"
St. Pauls,45.4203137,-62.5691515,YHZ,"St. Pauls, Municipality of Pictou County, Pictou County, Nova Scotia, Canada"
Sand Point,45.7450062,-63.2766152,YYG,"Sand Point, Municipality of Colchester, Colchester County, Nova Scotia, B0K 1V0, Canada"
Saint-Modeste,47.832518,-69.403381,YRI,"Saint-Modeste, Rivière-du-Loup (MRC), Bas-Saint-Laurent, Québec, Canada"
La Sarre,48.8000956,-79.2010223,YUY,"La Sarre, Abitibi-Ouest, Québec, Canada"
Cormack,49.3020209,-57.3951172,YDF,"Cormack, Newfoundland, Newfoundland and Labrador, Canada"
Calvert,47.0552017,-52.9119734,YYT,"Calvert, Newfoundland, Newfoundland and Labrador, A0A 2H0, Canada"
Big Valley,52.0340881,-112.753278,YQF,"Village of Big Valley, Division No. 7, Alberta, Canada"
Sainte-Foy--Sillery--Cap-Rouge,46.78201165,-71.34927875111617,YQB,"Sainte-Foy–Sillery–Cap-Rouge, Québec, Agglomération de Québec, Capitale-Nationale, Québec, Canada"
Notre-Dame-du-Rosaire,46.825905,-70.392151,YQB,"Notre-Dame-du-Rosaire, Montmagny (MRC), Chaudière-Appalaches, Québec, G0R 2H0, Canada"
Miscou Centre,47.942061,-64.5685177,YVB,"Miscou Centre, Shippagan Parish, Gloucester County, New Brunswick / Nouveau-Brunswick, Canada"
Hythe,55.3301451,-119.5577417,YQU,"Village of Hythe, Division No. 19, Alberta, Canada"
Saint-Tite,46.7285322,-72.5646675,YRQ,"Saint-Tite, Mékinac, Mauricie, Québec, Canada"
Canoe Cove,46.1547705,-63.2954043,YYG,"Canoe Cove, Queens County, Prince Edward Island, C0A 1H7, Canada"
Boularderie Centre,46.2021008,-60.5092806,YQY,"Boularderie Centre, Municipality of Victoria County, Victoria County, Nova Scotia, Canada"
Minto,46.0776889,-66.0784986,YFC,"Minto, Northfield Parish, Sunbury County, New Brunswick / Nouveau-Brunswick, Canada"
Bonarlaw,44.4297012,-77.6303663,YTR,"Bonarlaw, Station Road, Stirling-Rawdon, Hastings County, Central Ontario, Ontario, K0K 3C0, Canada"
Margaree Harbour,46.4384539,-61.1090706,YQY,"Margaree Harbour, Municipality of the County of Inverness, Inverness County, Nova Scotia, Canada"
Namaka,50.9585232,-113.2922518,YYC,"Namaka, Wheatland County, Alberta, Canada"
Cayley,50.45,-113.85,YYC,"Cayley, Foothills County, Alberta, Canada"
Falcon Beach,49.68483535,-95.32282901557984,YQK,"Falcon Beach, Unorganized Division No. 1, Division No. 1, Manitoba, Canada"
Harrow,42.035586,-82.9183594,YQG,"Harrow, Town of Essex, Essex County, Ontario, N0R 1G0, Canada"
Coxheath,46.1108803,-60.2407974,YQY,"Coxheath, Cape Breton Regional Municipality, Cape Breton County, Nova Scotia, Canada"
Plamondon,54.8485106,-112.343948,YBY,"Plamondon, Division No. 12, Alberta, T0A 2T0, Canada"
Port Hope,43.9515755,-78.2939704,YPQ,"Port Hope, Northumberland County, Central Ontario, Ontario, Canada"
Saint-Nicolas,46.7000531,-71.3965556,YQB,"Saint-Nicolas, Les Chutes-de-la-Chaudière-Ouest, Lévis, Chaudière-Appalaches, Québec, Canada"
Sainte-Brigitte-des-Saults,46.027243,-72.480927,YRQ,"Sainte-Brigitte-des-Saults, Drummond, Centre-du-Québec, Québec, Canada"
Richer,49.6572839,-96.4566563,YWG,"Richer, Rural Municipality of Ste. Anne, Division No. 2, Manitoba, R0E 1S0, Canada"
Amos,48.5718519,-78.1160856,YEY,"Amos, Abitibi, Québec, Canada"
Stauffer,52.1335144,-114.5754638,YRM,"North Raven, Census Division No. 9, Alberta, Canada"
Willingdon,53.8272186,-112.1144684,YXD,"Willingdon, Division No. 10, Alberta, Canada"
St.-Charles,49.8974888,-97.3014863,YWG,"St. Charles, Winnipeg, Division No. 11, Manitoba, R2Y 0H7, Canada"
Alameda,49.2652182,-102.2816393,YEN,"Alameda, Division No. 1, Saskatchewan, Canada"
Love,53.4853689,-104.1651802,YPA,"Love, Division No. 14, Saskatchewan, Canada"
Gardiner Mines,46.2034782,-60.063286,YQY,"Gardiner Mines, Cape Breton Regional Municipality, Cape Breton County, Nova Scotia, Canada"
Saint-Louis-de-Gonzague (Les Etchemins),46.267003,-70.328979,YQB,"Saint-Louis-de-Gonzague, Les Etchemins, Chaudière-Appalaches, Québec, Canada"
Îles-de-la-Madeleine,47.3220992,-61.8773745,YGR,"Îles de la Madeleine, Communauté maritime des Îles-de-la-Madeleine, Gaspésie–Îles-de-la-Madeleine, Québec, G4T 3P2, Canada"
Saint Jean Baptiste,45.5206444,-73.1238514,YHU,"Saint-Jean-Baptiste, La Vallée-du-Richelieu, Montérégie, Québec, J0L 2B0, Canada"
Taschereau,48.6626064,-78.6830135,YEY,"Taschereau, Abitibi-Ouest, Québec, Canada"
Saint-Louis de Kent,46.7377084,-64.9719715,YCH,"Saint-Louis de Kent, Saint-Louis Parish, Kent County, New Brunswick / Nouveau-Brunswick, Canada"
Lark Harbour,49.1021029,-58.3701885,YJT,"Lark Harbour, Newfoundland, Newfoundland and Labrador, Canada"
Altona,49.1031109,-97.5583611,PMB,"Altona, Division No. 3, Manitoba, R0G 0B0, Canada"
Saint-Ubalde,46.755857,-72.268753,YRQ,"Saint-Ubalde, Portneuf (MRC), Capitale-Nationale, Québec, G0A 4L0, Canada"
Saint-Clément,47.923204,-69.0951063,YRI,"Saint-Clément, Les Basques, Bas-Saint-Laurent, Québec, Canada"
Massueville,45.9111712,-72.9286685,YRQ,"Massueville, Pierre-De Saurel, Montérégie, Québec, J0G 1K0, Canada"
Colliers,47.4574068,-53.2196582,YYT,"Colliers, Newfoundland, Newfoundland and Labrador, A0A 1Y0, Canada"
Quispamsis,45.4287577,-65.9551378,YSJ,"Quispamsis, Rothesay Parish, Kings County, New Brunswick / Nouveau-Brunswick, Canada"
Grand Pré,45.1045033,-64.306391,YZX,"Grand Pré, Grand Pre, Municipality of the County of Kings, Kings County, Nova Scotia, B0P 1M0, Canada"
Pontiac,46.5896034,-77.2781003,YWA,"Pontiac, Outaouais, Québec, Canada"
Bertrand,47.756348,-65.0674525,YVB,"Bertrand, Caraquet Parish, Gloucester County, New Brunswick / Nouveau-Brunswick, Canada"
Saint-Louis-de-France,46.7600366,-71.2791341,YQB,"Saint-Louis-de-France, Saint-Louis, Sainte-Foy–Sillery–Cap-Rouge, Québec, Agglomération de Québec, Capitale-Nationale, Québec, G1W 3P5, Canada"
